model,dataset,method,f1_score,se,ci_lower,ci_upper,coverage,n_samples
gemini-2.5-flash,truthfulqa,bilateral_classical,0.8087257019438445,0.00927877510179715,0.7905393027443222,0.8269121011433669,0.738,1000
gemini-2.5-flash,factscore,bilateral_classical,0.6013356154774264,0.015221507751683827,0.5715014602841261,0.6311697706707268,0.384,1000
claude-3-5-haiku-20241022,simpleqa,bilateral_classical,0.7947903452015546,0.011268507844637642,0.7727040698260648,0.8168766205770444,0.607,1000
claude-opus-4-1-20250805,simpleqa,bilateral_classical,0.9429959100204499,0.007543228445363365,0.9282111822675377,0.9577806377733621,0.446,1000
llama-4-maverick,simpleqa,bilateral_classical,0.8425405377639021,0.012058530058535195,0.8189058188491731,0.8661752566786312,0.484,1000
llama-4-scout,simpleqa,bilateral_classical,0.8976203119540186,0.0077659205856727125,0.8823991076061001,0.9128415163019371,0.61,1000
claude-3-5-haiku-20241022,factscore,bilateral_classical,0.5470492882019677,0.018934712874578957,0.509937250967793,0.5841613254361425,0.274,1000
llama-4-maverick,truthfulqa,bilateral_classical,0.8079797772767643,0.009993461954583345,0.7883925918457809,0.8275669627077477,0.611,1000
gpt-4.1-mini-2025-04-14,simpleqa,bilateral_classical,0.8018760178708185,0.00945969664392406,0.7833350124487274,0.8204170232929097,0.761,1000
llama-4-scout,factscore,bilateral_classical,0.42189485934796256,0.01320880355450626,0.3960056043811303,0.4477841143147948,0.312,1000
gpt-4.1-2025-04-14,simpleqa,bilateral_classical,0.8216740254654946,0.008116765544996934,0.8057651649973007,0.8375828859336886,0.843,1000
llama-4-maverick,factscore,bilateral_classical,0.494902687673772,0.02082406307792125,0.45408752404104635,0.5357178513064976,0.218,1000
claude-opus-4-1-20250805,factscore,bilateral_classical,0.5163120567375886,0.01941776586028579,0.47825323565142847,0.5543708778237487,0.248,1000
gemini-2.5-flash,mmlupro,bilateral_classical,0.7088004278952535,0.010399329296529048,0.6884177424740566,0.7291831133164505,0.787,1000
gpt-4.1-2025-04-14,factscore,bilateral_classical,0.6294748395812225,0.015118357272046912,0.5998428593280106,0.6591068198344344,0.393,1000
gpt-4.1-mini-2025-04-14,mmlupro,bilateral_classical,0.7792930380635797,0.00930894048602468,0.7610475147109714,0.7975385614161881,0.732,1000
claude-3-5-haiku-20241022,truthfulqa,bilateral_classical,0.7620681794892707,0.010237407741067468,0.7420028603167785,0.782133498661763,0.698,1000
claude-3-5-haiku-20241022,mmlupro,bilateral_classical,0.687314827476184,0.01069065748554959,0.6663611388045068,0.7082685161478612,0.735,1000
