model,dataset,accuracy,f1_macro,coverage,bilateral_distribution,policy,distribution,total
gemini-2.5-flash,truthfulqa,0.8211382113821138,0.8087257019438445,0.738,"{'<f,t>': 512, '<t,f>': 226, '<t,t>': 72, '<f,f>': 190}",classical,,
gemini-2.5-flash,factscore,0.6145833333333334,0.6013356154774264,0.384,"{'<f,f>': 557, '<t,f>': 241, '<t,t>': 59, '<f,t>': 143}",classical,,
claude-3-5-haiku-20241022,simpleqa,0.8336079077429983,0.7947903452015543,0.607,"{'<f,f>': 363, '<t,f>': 130, '<f,t>': 477, '<t,t>': 30}",classical,,
claude-opus-4-1-20250805,simpleqa,0.9551569506726457,0.9429959100204499,0.446,"{'<e,e>': 347, '<t,f>': 111, '<f,t>': 335, '<e,f>': 22, '<e,t>': 108, '<f,e>': 29, '<f,f>': 15, '<t,e>': 11, '<t,t>': 22}",classical,,
llama-4-maverick,simpleqa,0.8822314049586777,0.842540537763902,0.484,"{'<e,t>': 173, '<f,t>': 385, '<t,f>': 99, '<e,e>': 66, '<f,f>': 115, '<f,e>': 61, '<e,f>': 30, '<t,t>': 54, '<t,e>': 17}",classical,,
llama-4-scout,simpleqa,0.9,0.8976203119540185,0.61,"{'<f,f>': 375, '<f,t>': 356, '<t,f>': 254, '<t,t>': 13, '<f,e>': 2}",classical,,
claude-3-5-haiku-20241022,factscore,0.6240875912408759,0.5470492882019676,0.274,"{'<f,f>': 712, '<t,f>': 227, '<f,t>': 47, '<t,t>': 14}",classical,,
llama-4-maverick,truthfulqa,0.8117839607201309,0.8079797772767644,0.611,"{'<f,t>': 361, '<f,f>': 207, '<t,f>': 250, '<e,e>': 68, '<t,t>': 64, '<f,e>': 24, '<e,f>': 5, '<t,e>': 14, '<e,t>': 7}",classical,,
gpt-4.1-mini-2025-04-14,simpleqa,0.8199737187910644,0.8018760178708184,0.761,"{'<f,f>': 61, '<t,t>': 178, '<f,t>': 548, '<t,f>': 213}",classical,,
llama-4-scout,factscore,0.6121794871794872,0.4218948593479626,0.312,"{'<f,f>': 665, '<t,f>': 300, '<t,t>': 7, '<f,t>': 12, '<f,e>': 7, '<e,e>': 6, '<t,e>': 2, '<e,f>': 1}",classical,,
gpt-4.1-2025-04-14,simpleqa,0.8327402135231317,0.8216740254654946,0.843,"{'<f,t>': 588, '<t,f>': 255, '<t,t>': 109, '<f,f>': 48}",classical,,
llama-4-maverick,factscore,0.6330275229357798,0.494902687673772,0.218,"{'<f,e>': 53, '<e,e>': 384, '<f,f>': 172, '<t,f>': 201, '<e,f>': 123, '<e,t>': 14, '<t,e>': 28, '<f,t>': 17, '<t,t>': 8}",classical,,
claude-opus-4-1-20250805,factscore,0.6451612903225806,0.5163120567375886,0.248,"{'<f,e>': 110, '<f,f>': 471, '<t,f>': 219, '<f,t>': 29, '<e,e>': 126, '<e,t>': 6, '<t,e>': 12, '<e,f>': 16, '<t,t>': 11}",classical,,
gemini-2.5-flash,mmlupro,0.7433290978398983,0.7088004278952537,0.787,"{'<f,t>': 622, '<t,f>': 165, '<t,t>': 201, '<f,f>': 12}",classical,,
gpt-4.1-2025-04-14,factscore,0.6590330788804071,0.6294748395812226,0.393,"{'<f,f>': 594, '<t,f>': 288, '<f,t>': 105, '<t,t>': 13}",classical,,
gpt-4.1-mini-2025-04-14,mmlupro,0.7800546448087432,0.7792930380635797,0.732,"{'<f,t>': 394, '<t,f>': 338, '<f,f>': 31, '<t,t>': 237}",classical,,
claude-3-5-haiku-20241022,truthfulqa,0.7664756446991404,0.7620681794892707,0.698,"{'<f,t>': 433, '<t,f>': 265, '<t,t>': 31, '<f,f>': 271}",classical,,
claude-3-5-haiku-20241022,mmlupro,0.6952380952380952,0.687314827476184,0.735,"{'<t,f>': 477, '<f,f>': 180, '<f,t>': 258, '<t,t>': 85}",classical,,
